Name,Code,Category
i,"publicstaticintisPairSum(intA[],intN,intX){inti=0;intj=N-1;do{if(A[i]+A[j]==X)return1;elseif(A[i]+A[j]<X)i++;elsej--;}while(i<j);return0;}",loop_control
j,"publicstaticintisPairSum(intA[],intN,intX){inti=0;intj=N-1;do{if(A[i]+A[j]==X)return1;elseif(A[i]+A[j]<X)i++;elsej--;}while(i<j);return0;}",loop_control
input,"finalpublicstaticvoidAuthification(Stringinput){do{System.out.print(""Password?"");input=scanner.nextLine().trim();}while(!input.equals(VerySafeClass.PASSWORD));}",loop_control
number,"publicstaticvoidmain(String[]args){intsum=0;intnumber=0;Scannerinput=newScanner(System.in);do{sum+=number;System.out.println(""Enteranumber"");number=input.nextInt();}while(number>=0);System.out.println(""Sum=""+sum);input.close();}",loop_control
num,"publicstaticvoidRussianRoulette(String[]args){Scannerinput=newScanner(System.in);Randomrand=newRandom();System.out.println(""Enteranintegerbetween0-9"");intnum=input.nextInt();intrandomNum=rand.nextInt(10);do{randomNum=rand.nextInt(10);System.out.println(""User:""+num+"":""+""Randomnumber:""+randomNum);}while(num!=randomNum);returnnum;}",loop_control
i,"publicstaticintisPairSum(intA[],intN,intX){inti=0;intj=N-1;while(i<j){if(A[i]+A[j]==X)return1;elseif(A[i]+A[j]<X)i++;elsej--;}return0;}",loop_control
i,"voidBFS(intn){booleannodes[]=newboolean[V];inta=0;nodes[n]=true;queue.add(n);while(queue.size()!=0){n=queue.poll();System.out.print(n+"""");for(inti=0;i<adj[n].size();i++){a=adj[n].get(i);if(!nodes[a]){nodes[a]=true;queue.add(a);}}}}",loop_control
i,"publicstaticvoidmain(Stringargs[]){intSIZE=10;inti,j,N;int[][]board=newint[SIZE][SIZE];intleft,top;left=0;top=SIZE-1;N=1;for(i=1;i<=SIZE/2;i++,left++,top--){for(j=left;j<=top;j++,N++){board[left][j]=N;}for(j=left+1;j<=top;j++,N++){board[j][top]=N;}for(j=top-1;j>=left;j--,N++){board[top][j]=N;}for(j=top-1;j>=left+1;j--,N++){board[j][left]=N;}}for(i=0;i<SIZE;i++){for(j=0;j<SIZE;j++){System.out.printf(""%-5d"",board[i][j]);}System.out.printf("""");}}",loop_control
j,"publicstaticvoidmain(Stringargs[]){intSIZE=10;inti,j,N;int[][]board=newint[SIZE][SIZE];intleft,top;left=0;top=SIZE-1;N=1;for(i=1;i<=SIZE/2;i++,left++,top--){for(j=left;j<=top;j++,N++){board[left][j]=N;}for(j=left+1;j<=top;j++,N++){board[j][top]=N;}for(j=top-1;j>=left;j--,N++){board[top][j]=N;}for(j=top-1;j>=left+1;j--,N++){board[j][left]=N;}}for(i=0;i<SIZE;i++){for(j=0;j<SIZE;j++){System.out.printf(""%-5d"",board[i][j]);}System.out.printf("""");}}",loop_control
bufSize,"privatestaticbyte[]toByteArrayInternal(InputStreamin,Queue<byte[]>bufs,inttotalLen)throwsIOException{intinitialBufferSize=min(BUFFER_SIZE,max(128,Integer.highestOneBit(totalLen)*2));for(intbufSize=initialBufferSize;totalLen<MAX_ARRAY_LEN;bufSize=IntMath.saturatedMultiply(bufSize,bufSize<4096?4:2)){byte[]buf=newbyte[min(bufSize,MAX_ARRAY_LEN-totalLen)];bufs.add(buf);intoff=0;while(off<buf.length){//alwaysOKtofillbuf;itssizeplustherestofbufsisnevermorethanMAX_ARRAY_LENintr=in.read(buf,off,buf.length-off);if(r==-1){returncombineBuffers(bufs,totalLen);}off+=r;totalLen+=r;}}if(in.read()==-1){returncombineBuffers(bufs,MAX_ARRAY_LEN);}else{thrownewOutOfMemoryError(""inputistoolargetofitinabytearray"");}}",loop_control
